accepted_by,active,component_name,component_version,created,cvssv3_score,description,epss_percentile,epss_score,false_p,file_path,id,is_mitigated,line,long_term_acceptance,mitigated,mitigation,priority,priority_classification,references,reviewed_by,risk_status,severity,sla_age,sla_days_remaining,sla_expiration_date,sla_start_date,title,risk_acceptance_expiration_date,environment_image,cluster,registry_image,repository_image,namespace_image,tag_image,cloud_id,hostname,custom_id,found_by,engagement,area_responsible,product,product_type,product_type_environment,company,endpoints,vulnerability_ids,tags,classification
,True,com.demo_fake-crypto-lib,1.2.3,2026-05-21 10:00:00.000+00:00,9.8,The session management module generates tokens with only 32 bits of entropy using a predictable PRNG seeded with system time. An attacker can brute-force valid tokens and hijack authenticated sessions without credentials. Demo record 1.,0.22589,0.00032,False,src/main/com.demo/fake-crypto-lib/demo_1.java,10000001,False,,,,Upgrade com.fake:demo-session-manager to 3.0.0 or replace token generation with java.security.SecureRandom with at least 128-bit entropy.,0.01,Critical,https://nvd.nist.gov/vuln/detail/CVE-2025-99001 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99001 NEWLINE https://demo.example.com/advisories/CVE-2025-99001,,Risk Active,Critical,180,-65,2026-03-17,2025-09-18,Broken Authentication: Session tokens with insufficient entropy - Demo 1,,,,,,,,,,,fluidattacks,DEMO_001_FakeBank_MR_ms_cuentas,EQUIPO DEMO BACKEND,Demo_DEMO001,DEMO PRODUCTO A,PRODUCCION,Demo Corp,,CVE-2025-99001 com.demo_fake-crypto-lib 1.2.3,fluidattacks,Business Application
,True,org.example_demo-http-client,2.1.0,2026-05-21 10:01:00.000+00:00,8.1,The user search endpoint concatenates user-supplied input directly into SQL statements without sanitization. An unauthenticated attacker can extract the full database contents or execute arbitrary DDL commands. Demo record 2.,0.23525,0.00089,False,src/main/org.example/demo-http-client/demo_2.java,10000002,False,,,,Upgrade io.example:demo-auth-lib to 5.1.3 and replace all dynamic query construction with prepared statements.,0.01,High,https://nvd.nist.gov/vuln/detail/CVE-2025-99002 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99002 NEWLINE https://demo.example.com/advisories/CVE-2025-99002,,Risk Active,High,181,-7,2026-05-14,2025-11-15,SQL Injection via unparameterized dynamic query builder - Demo 2,,,,,,,,,,,fluidattacks,DEMO_002_FakeShop_MR_ms_pedidos,EQUIPO DEMO ECOMMERCE,Demo_DEMO002,DEMO PRODUCTO B,PRODUCCION,Demo Corp,,CVE-2025-99002 org.example_demo-http-client 2.1.0,fluidattacks,Business Application
,True,com.example_fake-json-parser,3.0.1,2026-05-21 10:02:00.000+00:00,7.5,AES-128 encryption keys are hardcoded in the application source code and committed to the version control history. Any developer or CI/CD agent with repository access can retrieve and misuse these keys. Demo record 3.,0.12005,0.00078,False,src/main/com.example/fake-json-parser/demo_3.java,10000003,False,,,,Rotate all exposed keys immediately. Move secrets to a vault solution (e.g. HashiCorp Vault or AWS Secrets Manager). Remove key material from git history.,0.01,High,https://nvd.nist.gov/vuln/detail/CVE-2025-99003 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99003 NEWLINE https://demo.example.com/advisories/CVE-2025-99003,,Risk Active,High,182,7,2026-05-28,2025-11-29,Sensitive Data Exposure: Cryptographic keys stored in source code - Demo 3,,,,,,,,,,,fluidattacks,DEMO_003_FakeLogistic_MR_ms_envios,EQUIPO DEMO LOGISTICA,Demo_DEMO003,DEMO PRODUCTO C,ENTORNO PLATAFORMAS DE DESARROLLO,Demo Corp,,CVE-2025-99003 com.example_fake-json-parser 3.0.1,fluidattacks,Business Application
,True,io.demo_fake-db-driver,4.5.2,2026-05-21 10:03:00.000+00:00,6.1,Error messages rendered by the XML parser module reflect unescaped request parameters into the HTML response. A remote attacker can craft a malicious link and execute arbitrary JavaScript in the victim's browser context. Demo record 4.,0.26226,0.00045,False,src/main/io.demo/fake-db-driver/demo_4.java,10000004,False,,,,Upgrade org.demo:fake-xml-parser to 1.1.0 and apply output encoding on all user-supplied values before HTML rendering.,0.01,Medium Low,https://nvd.nist.gov/vuln/detail/CVE-2025-99004 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99004 NEWLINE https://demo.example.com/advisories/CVE-2025-99004,,Risk Active,Medium,183,43,2026-07-03,2026-01-04,Cross-Site Scripting (Reflected) in error response body - Demo 4,,,,,,,,,,,fluidattacks,DEMO_004_FakeInsurance_MR_ms_polizas,EQUIPO DEMO SEGUROS,Demo_DEMO004,DEMO PRODUCTO D,PRODUCCION,Demo Corp,,CVE-2025-99004 io.demo_fake-db-driver 4.5.2,fluidattacks,Business Application
,True,org.demo_fake-xml-parser,1.0.0,2026-05-21 10:04:00.000+00:00,5.3,The logger library is configured to write full exception stack traces and internal class paths into HTTP responses in production. This information aids an attacker in identifying exploitable components and their versions. Demo record 5.,0.24647,0.00038,False,src/main/org.demo/fake-xml-parser/demo_5.java,10000005,False,,,,1.1.0,0.01,Medium Low,https://nvd.nist.gov/vuln/detail/CVE-2025-99005 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99005 NEWLINE https://demo.example.com/advisories/CVE-2025-99005,,Risk Active,Medium,184,59,2026-07-19,2026-01-20,Verbose logging exposes internal stack traces to end users - Demo 5,,,,,,,,,,,fluidattacks,DEMO_002_FakeShop_TEST_ms_pedidos_test,EQUIPO DEMO ECOMMERCE,Demo_DEMO002,DEMO PRODUCTO B,QA,Demo Corp,,CVE-2025-99005 org.demo_fake-xml-parser 1.0.0,fluidattacks,Business Application
,True,com.fake_demo-session-manager,2.3.4,2026-05-21 10:05:00.000+00:00,8.8,The policy download endpoint accepts a numeric document ID as a URL parameter without verifying ownership. Any authenticated user can iterate IDs and download confidential policy documents belonging to other customers. Demo record 6.,0.03265,0.00094,False,src/main/com.fake/demo-session-manager/demo_6.java,10000006,False,,,,Upgrade io.demo:fake-db-driver to 4.5.9 and implement resource-level authorization checks on every download request.,0.01,High,https://nvd.nist.gov/vuln/detail/CVE-2025-99006 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99006 NEWLINE https://demo.example.com/advisories/CVE-2025-99006,,Risk Active,High,185,-25,2026-04-26,2025-10-28,Insecure Direct Object Reference in policy document download - Demo 6,,,,,,,,,,,fluidattacks,DEMO_001_FakeBank_MR_ms_cuentas,EQUIPO DEMO BACKEND,Demo_DEMO001,DEMO PRODUCTO A,PRODUCCION,Demo Corp,,CVE-2025-99006 com.fake_demo-session-manager 2.3.4,fluidattacks,Business Application
,True,io.example_demo-auth-lib,5.1.0,2026-05-21 10:06:00.000+00:00,3.1,"Responses from the insurance portal do not include the Strict-Transport-Security (HSTS) header. Clients connecting over HTTP are not automatically upgraded to HTTPS, enabling potential downgrade attacks on insecure networks. Demo record 7.",0.13754,0.00019,False,src/main/io.example/demo-auth-lib/demo_7.java,10000007,False,,,,5.1.3,0.01,Low,https://nvd.nist.gov/vuln/detail/CVE-2025-99007 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99007 NEWLINE https://demo.example.com/advisories/CVE-2025-99007,,Risk Active,Low,186,106,2026-09-04,2026-03-08,Missing HTTP Strict-Transport-Security header - Demo 7,,,,,,,,,,,fluidattacks,DEMO_002_FakeShop_MR_ms_pedidos,EQUIPO DEMO ECOMMERCE,Demo_DEMO002,DEMO PRODUCTO B,PRODUCCION,Demo Corp,,CVE-2025-99007 io.example_demo-auth-lib 5.1.0,fluidattacks,Business Application
,True,com.demo_example-cache,3.2.1,2026-05-21 10:07:00.000+00:00,5.9,"The login flow in the test environment accepts an arbitrary returnUrl parameter and redirects the user post-authentication without validating the destination domain, enabling phishing via trusted-domain redirects. Demo record 8.",0.0941,0.001,False,src/main/com.demo/example-cache/demo_8.java,10000008,False,,,,Upgrade org.example:demo-http-client to 2.1.4 and implement an allowlist of valid redirect destinations.,0.01,Medium Low,https://nvd.nist.gov/vuln/detail/CVE-2025-99008 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99008 NEWLINE https://demo.example.com/advisories/CVE-2025-99008,,Risk Active,Medium,187,27,2026-06-17,2025-12-19,Open Redirect via unvalidated returnUrl query parameter - Demo 8,,,,,,,,,,,fluidattacks,DEMO_003_FakeLogistic_MR_ms_envios,EQUIPO DEMO LOGISTICA,Demo_DEMO003,DEMO PRODUCTO C,ENTORNO PLATAFORMAS DE DESARROLLO,Demo Corp,,CVE-2025-99008 com.demo_example-cache 3.2.1,fluidattacks,Business Application
,True,org.fake_demo-logger,1.8.5,2026-05-21 10:08:00.000+00:00,9.1,The S3 bucket used by the orders service for storing order attachments is configured with ACL public-read and has server-side encryption disabled. Any unauthenticated internet user can list and download customer order files. Demo record 9.,0.38705,0.00016,False,src/main/org.fake/demo-logger/demo_9.java,10000009,False,,,,Enable SSE-S3 or SSE-KMS encryption. Remove public-read ACL and enforce bucket policy to deny public access. Upgrade cache lib to 3.3.0.,0.01,Critical,https://nvd.nist.gov/vuln/detail/CVE-2025-99009 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99009 NEWLINE https://demo.example.com/advisories/CVE-2025-99009,,Risk Active,Critical,188,-42,2026-04-09,2025-10-11,AWS S3 bucket with public read access and no encryption at rest - Demo 9,,,,,,,,,,,AWS Config,DEMO_004_FakeInsurance_MR_ms_polizas,EQUIPO DEMO SEGUROS,Demo_DEMO004,DEMO PRODUCTO D,PRODUCCION,Demo Corp,,CVE-2025-99009 org.fake_demo-logger 1.8.5,c2c,Business Application
,True,com.example_demo-scheduler,2.0.0,2026-05-21 10:09:00.000+00:00,8,"An IAM role attached to the orders microservice grants ""Action: *"" on ""Resource: *"" without condition keys. A compromised instance can call any AWS API including IAM manipulation APIs, enabling full account takeover. Demo record 10.",0.33276,0.00097,False,src/main/com.example/demo-scheduler/demo_10.java,10000010,False,,,,Restrict IAM role to least-privilege actions required by the service. Apply permission boundaries.,0.01,High,https://nvd.nist.gov/vuln/detail/CVE-2025-99010 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99010 NEWLINE https://demo.example.com/advisories/CVE-2025-99010,,Risk Active,High,189,-6,2026-05-15,2025-11-16,IAM role with wildcard action allows privilege escalation - Demo 10,,,,,,,,,,,AWS Config,DEMO_002_FakeShop_TEST_ms_pedidos_test,EQUIPO DEMO ECOMMERCE,Demo_DEMO002,DEMO PRODUCTO B,QA,Demo Corp,,CVE-2025-99010 com.example_demo-scheduler 2.0.0,c2c,Business Application
